Distance_(µm),Gray_Value
410.154,361.900
410.501,361.966
410.848,362.050
411.195,362.130
411.542,362.226
411.889,362.308
412.236,362.383
412.583,362.479
412.930,362.589
413.277,362.689
413.624,362.791
413.971,362.899
414.318,363.012
414.665,363.121
415.012,363.231
415.359,363.337
415.706,363.481
416.053,363.609
416.400,363.714
416.747,363.847
417.094,363.990
417.441,364.118
417.788,364.231
418.135,364.401
418.482,364.545
418.829,364.688
419.176,364.834
419.523,364.972
419.870,365.096
420.217,365.228
420.564,365.407
420.911,365.560
421.258,365.676
421.605,365.815
421.952,365.922
422.299,366.052
422.646,366.200
422.993,366.313
423.340,366.428
423.687,366.558
424.034,366.655
424.381,366.728
424.728,366.804
425.075,366.874
425.422,366.950
425.769,366.990
426.116,367.081
426.463,367.138
426.810,367.175
427.157,367.232
427.504,367.242
427.851,367.243
428.198,367.281
428.545,367.300
428.892,367.271
429.239,367.312
429.586,367.329
429.933,367.311
430.280,367.286
430.627,367.295
430.974,367.291
431.321,367.254
431.668,367.229
432.015,367.240
432.362,367.223
432.709,367.226
433.056,367.195
433.403,367.192
433.750,367.187
434.097,367.161
434.444,367.148
434.791,367.171
435.138,367.176
435.485,367.166
435.832,367.184
436.179,367.179
436.526,367.203
436.873,367.237
437.220,367.283
437.567,367.321
437.914,367.359
438.261,367.385
438.608,367.427
438.955,367.458
439.302,367.498
439.649,367.525
439.996,367.559
440.343,367.640
440.690,367.718
441.037,367.753
441.384,367.788
441.731,367.836
442.078,367.890
442.425,367.949
442.772,368.006
443.119,368.044
443.466,368.074
443.813,368.140
444.160,368.174
444.507,368.212
444.854,368.243
445.201,368.275
445.548,368.298
445.895,368.315
446.242,368.333
446.589,368.345
446.936,368.355
447.283,368.380
447.630,368.376
447.977,368.388
448.324,368.386
448.671,368.381
449.018,368.373
449.365,368.357
449.712,368.355
450.059,368.344
450.406,368.316
450.753,368.285
451.100,368.261
451.447,368.245
451.794,368.216
452.141,368.211
452.488,368.167
452.835,368.143
453.182,368.119
453.529,368.101
453.876,368.086
454.223,368.044
454.570,367.999
454.917,367.949
455.264,367.925
455.611,367.896
455.958,367.860
456.305,367.846
456.652,367.812
456.999,367.800
457.346,367.768
457.693,367.715
458.040,367.681
458.387,367.647
458.734,367.604
459.081,367.562
459.428,367.544
459.775,367.503
460.122,367.473
460.469,367.436
460.816,367.401
461.163,367.350
461.510,367.290
461.857,367.249
462.204,367.207
462.551,367.158
462.898,367.095
463.245,367.033
463.592,366.971
463.939,366.920
464.286,366.867
464.633,366.803
464.980,366.742
465.327,366.665
465.674,366.598
466.021,366.522
466.368,366.433
466.715,366.342
467.062,366.266
467.409,366.190
467.756,366.102
468.103,366.018
468.450,365.951
468.797,365.875
469.144,365.787
469.491,365.685
469.838,365.558
470.185,365.437
470.532,365.351
470.879,365.234
471.226,365.125
471.573,365.035
471.920,364.899
472.267,364.812
