Distance_(µm),Gray_Value
352.899,2096.036
353.246,2093.614
353.593,2091.168
353.940,2088.820
354.287,2086.528
354.634,2084.329
354.981,2082.192
355.328,2080.194
355.675,2078.285
356.022,2076.560
356.369,2074.941
356.716,2073.506
357.063,2072.231
357.410,2071.109
357.757,2070.165
358.104,2069.422
358.451,2068.833
358.798,2068.427
359.145,2068.208
359.492,2068.119
359.839,2068.203
360.186,2068.464
360.533,2068.846
360.880,2069.382
361.227,2070.003
361.574,2070.761
361.921,2071.566
362.268,2072.482
362.615,2073.435
362.962,2074.421
363.309,2075.458
363.656,2076.485
364.003,2077.498
364.350,2078.475
364.697,2079.427
365.044,2080.310
365.391,2081.104
365.738,2081.838
366.085,2082.454
366.432,2082.937
366.779,2083.326
367.126,2083.579
367.473,2083.673
367.820,2083.660
368.167,2083.474
368.514,2083.146
368.861,2082.686
369.208,2082.051
369.555,2081.239
369.902,2080.397
370.249,2079.282
370.596,2078.069
370.943,2076.771
371.290,2075.271
371.637,2073.677
371.984,2072.000
372.331,2070.167
372.678,2068.246
373.025,2066.220
373.372,2064.119
373.719,2061.907
374.066,2059.549
374.413,2057.278
374.760,2054.809
375.107,2052.333
375.454,2049.764
375.801,2047.239
376.148,2044.565
376.495,2041.974
376.842,2039.233
377.189,2036.574
377.536,2033.903
377.883,2031.192
378.230,2028.560
378.577,2025.843
378.924,2023.272
379.271,2020.758
379.618,2018.181
379.965,2015.848
380.312,2013.410
380.659,2011.106
381.006,2008.996
381.353,2006.912
381.700,2004.922
382.047,2003.120
382.394,2001.441
382.741,1999.927
383.088,1998.525
383.435,1997.235
383.782,1996.260
384.129,1995.277
384.476,1994.538
384.823,1993.969
385.170,1993.548
385.517,1993.301
385.864,1993.240
386.211,1993.334
386.558,1993.538
386.905,1993.964
387.252,1994.504
387.599,1995.179
387.946,1996.031
388.293,1996.985
388.640,1998.076
388.987,1999.268
389.334,2000.586
389.681,2001.993
390.028,2003.451
390.375,2005.007
390.722,2006.695
391.069,2008.386
391.416,2010.175
391.763,2011.946
392.110,2013.811
392.457,2015.710
392.804,2017.603
393.151,2019.530
393.498,2021.528
393.845,2023.423
394.192,2025.426
394.539,2027.359
394.886,2029.345
395.233,2031.257
395.580,2033.196
395.927,2035.098
396.274,2036.995
396.621,2038.857
396.968,2040.714
397.315,2042.524
397.662,2044.302
398.009,2046.090
398.356,2047.786
398.703,2049.478
399.050,2051.133
399.397,2052.735
399.744,2054.344
400.091,2055.858
400.438,2057.362
400.785,2058.803
401.132,2060.204
401.479,2061.529
401.826,2062.849
402.173,2064.089
402.520,2065.292
402.867,2066.459
403.214,2067.547
403.561,2068.588
403.908,2069.560
404.255,2070.546
404.602,2071.448
404.949,2072.278
405.296,2073.091
405.643,2073.878
405.990,2074.596
406.337,2075.315
406.684,2076.013
407.031,2076.634
407.378,2077.326
407.725,2077.956
408.072,2078.613
408.419,2079.296
408.766,2079.987
409.113,2080.705
409.460,2081.443
409.807,2082.237
410.154,2083.060
410.501,2083.961
410.848,2084.903
411.195,2085.932
411.542,2087.025
411.889,2088.153
412.236,2089.382
412.583,2090.673
412.930,2092.049
413.277,2093.512
413.624,2095.028
413.971,2096.636
414.318,2098.312
414.665,2100.032
415.012,2101.844
415.359,2103.696
415.706,2105.625
416.053,2107.573
416.400,2109.560
416.747,2111.592
417.094,2113.664
417.441,2115.752
417.788,2117.855
418.135,2119.968
418.482,2122.092
418.829,2124.211
419.176,2126.314
419.523,2128.430
419.870,2130.505
420.217,2132.567
420.564,2134.607
420.911,2136.586
421.258,2138.537
421.605,2140.471
421.952,2142.360
422.299,2144.221
422.646,2145.987
422.993,2147.726
423.340,2149.415
423.687,2151.027
424.034,2152.588
424.381,2154.093
424.728,2155.567
425.075,2156.962
425.422,2158.300
425.769,2159.572
426.116,2160.762
426.463,2161.896
426.810,2162.994
427.157,2164.014
427.504,2164.971
427.851,2165.878
428.198,2166.681
428.545,2167.481
428.892,2168.197
429.239,2168.834
429.586,2169.407
429.933,2169.942
430.280,2170.408
430.627,2170.786
430.974,2171.119
431.321,2171.390
431.668,2171.591
432.015,2171.709
432.362,2171.750
432.709,2171.740
433.056,2171.655
433.403,2171.467
433.750,2171.224
434.097,2170.891
434.444,2170.483
434.791,2169.994
435.138,2169.423
435.485,2168.769
435.832,2168.026
436.179,2167.210
436.526,2166.310
436.873,2165.338
437.220,2164.306
437.567,2163.208
437.914,2162.059
438.261,2160.829
438.608,2159.560
438.955,2158.270
439.302,2156.936
439.649,2155.577
439.996,2154.185
440.343,2152.794
440.690,2151.420
441.037,2150.024
441.384,2148.687
441.731,2147.367
442.078,2146.069
442.425,2144.797
442.772,2143.585
443.119,2142.412
443.466,2141.286
443.813,2140.233
444.160,2139.243
444.507,2138.278
444.854,2137.385
445.201,2136.540
445.548,2135.757
445.895,2135.002
446.242,2134.272
446.589,2133.596
446.936,2132.973
447.283,2132.337
447.630,2131.718
447.977,2131.097
448.324,2130.472
448.671,2129.856
449.018,2129.226
449.365,2128.575
449.712,2127.896
450.059,2127.170
450.406,2126.422
450.753,2125.661
451.100,2124.826
451.447,2123.971
451.794,2123.101
452.141,2122.194
452.488,2121.239
452.835,2120.264
453.182,2119.265
453.529,2118.245
453.876,2117.246
454.223,2116.209
454.570,2115.191
454.917,2114.190
455.264,2113.217
455.611,2112.244
455.958,2111.316
456.305,2110.422
456.652,2109.585
456.999,2108.806
457.346,2108.047
457.693,2107.404
458.040,2106.775
458.387,2106.260
458.734,2105.813
459.081,2105.399
459.428,2105.101
459.775,2104.848
460.122,2104.668
460.469,2104.539
460.816,2104.508
461.163,2104.532
461.510,2104.575
461.857,2104.711
462.204,2104.880
462.551,2105.091
462.898,2105.329
463.245,2105.600
463.592,2105.917
463.939,2106.227
464.286,2106.529
464.633,2106.863
464.980,2107.171
465.327,2107.474
465.674,2107.763
466.021,2108.014
466.368,2108.233
466.715,2108.405
467.062,2108.539
467.409,2108.608
467.756,2108.664
468.103,2108.614
468.450,2108.490
468.797,2108.348
469.144,2108.103
469.491,2107.773
469.838,2107.357
470.185,2106.890
470.532,2106.323
470.879,2105.701
471.226,2104.981
471.573,2104.204
471.920,2103.360
472.267,2102.438
472.614,2101.484
472.961,2100.471
473.308,2099.409
473.655,2098.363
474.002,2097.248
474.349,2096.172
474.696,2095.042
475.043,2093.952
475.390,2092.895
475.737,2091.873
476.084,2090.888
476.431,2089.951
476.778,2089.083
477.125,2088.288
477.472,2087.601
477.819,2086.982
478.166,2086.478
478.513,2086.070
478.860,2085.763
479.207,2085.594
479.554,2085.545
479.901,2085.604
480.248,2085.773
480.595,2086.122
480.942,2086.515
481.289,2087.046
481.636,2087.681
481.983,2088.396
482.330,2089.296
482.677,2090.203
483.024,2091.278
483.371,2092.358
483.718,2093.523
484.065,2094.734
484.412,2096.050
484.759,2097.375
485.106,2098.709
485.453,2100.116
485.800,2101.517
486.147,2102.898
486.494,2104.321
486.841,2105.718
487.188,2107.090
487.535,2108.419
487.882,2109.760
488.229,2111.024
488.576,2112.253
488.923,2113.458
489.270,2114.586
489.617,2115.680
489.964,2116.687
490.311,2117.654
490.658,2118.533
491.005,2119.382
491.352,2120.163
491.699,2120.864
492.046,2121.509
492.393,2122.066
492.740,2122.616
493.087,2123.038
493.434,2123.448
493.781,2123.750
494.128,2124.004
494.475,2124.189
494.822,2124.342
495.169,2124.436
495.516,2124.408
495.863,2124.367
496.210,2124.242
496.557,2124.055
496.904,2123.790
497.251,2123.464
497.598,2123.050
497.945,2122.585
498.292,2122.051
498.639,2121.415
498.986,2120.704
499.333,2119.944
499.680,2119.098
500.027,2118.169
500.374,2117.159
500.721,2116.081
501.068,2114.933
501.415,2113.703
501.762,2112.394
502.109,2111.021
502.456,2109.601
502.803,2108.101
503.150,2106.542
503.497,2104.954
503.844,2103.282
504.191,2101.559
504.538,2099.825
504.885,2097.999
505.232,2096.155
505.579,2094.305
505.926,2092.366
506.273,2090.435
506.620,2088.443
506.967,2086.428
507.314,2084.407
507.661,2082.361
508.008,2080.279
508.355,2078.170
508.702,2076.031
509.049,2073.906
509.396,2071.734
509.743,2069.541
510.090,2067.331
510.437,2065.122
510.784,2062.870
511.131,2060.619
511.478,2058.361
511.825,2056.049
512.172,2053.736
512.519,2051.453
512.866,2049.112
513.213,2046.822
513.560,2044.479
513.907,2042.140
514.254,2039.799
514.601,2037.475
514.948,2035.148
515.295,2032.840
515.642,2030.508
515.989,2028.214
516.336,2025.959
516.683,2023.697
517.030,2021.465
517.377,2019.259
517.724,2017.115
518.071,2014.962
518.418,2012.839
518.765,2010.791
519.112,2008.779
519.459,2006.782
519.806,2004.854
520.153,2002.943
520.500,2001.100
520.847,1999.335
521.194,1997.606
521.541,1995.938
521.888,1994.313
522.235,1992.749
522.582,1991.267
522.929,1989.811
523.276,1988.479
523.623,1987.221
523.970,1986.000
524.317,1984.839
524.664,1983.768
525.011,1982.784
525.358,1981.864
525.705,1981.046
526.052,1980.255
526.399,1979.551
526.746,1978.948
527.093,1978.395
527.440,1977.940
527.787,1977.527
528.134,1977.184
528.481,1976.916
528.828,1976.702
529.175,1976.547
529.522,1976.462
529.869,1976.430
530.216,1976.438
530.563,1976.502
530.910,1976.581
531.257,1976.742
531.604,1976.899
531.951,1977.088
532.298,1977.308
532.645,1977.537
532.992,1977.815
533.339,1978.111
533.686,1978.379
534.033,1978.681
534.380,1978.988
534.727,1979.306
535.074,1979.637
