Distance_(µm),Gray_Value
418.135,4085.014
418.482,4087.961
418.829,4090.940
419.176,4093.934
419.523,4096.786
419.870,4099.757
420.217,4102.605
420.564,4105.371
420.911,4108.160
421.258,4110.939
421.605,4113.545
421.952,4116.159
422.299,4118.451
422.646,4121.003
422.993,4123.193
423.340,4125.349
423.687,4127.427
424.034,4129.428
424.381,4131.129
424.728,4132.689
425.075,4134.273
425.422,4135.591
425.769,4136.754
426.116,4137.706
426.463,4138.538
426.810,4139.173
427.157,4139.537
427.504,4139.798
427.851,4139.806
428.198,4139.535
428.545,4139.138
428.892,4138.487
429.239,4137.564
429.586,4136.431
429.933,4135.029
430.280,4133.411
430.627,4131.545
430.974,4129.445
431.321,4127.106
431.668,4124.522
432.015,4121.732
432.362,4118.762
432.709,4115.527
433.056,4112.147
433.403,4108.612
433.750,4104.885
434.097,4101.006
434.444,4096.964
434.791,4092.967
435.138,4088.712
435.485,4084.565
435.832,4080.213
436.179,4076.019
436.526,4071.728
436.873,4067.283
437.220,4063.064
437.567,4058.836
437.914,4054.724
438.261,4050.490
438.608,4046.473
438.955,4042.527
439.302,4038.623
439.649,4034.880
439.996,4031.151
440.343,4027.517
440.690,4024.105
441.037,4020.713
441.384,4017.373
441.731,4014.284
442.078,4011.148
442.425,4008.211
442.772,4005.324
443.119,4002.551
443.466,3999.888
443.813,3997.264
444.160,3994.752
444.507,3992.366
444.854,3990.052
445.201,3987.771
445.548,3985.569
445.895,3983.482
446.242,3981.427
446.589,3979.509
446.936,3977.579
447.283,3975.759
447.630,3973.967
447.977,3972.223
448.324,3970.567
448.671,3968.976
449.018,3967.370
449.365,3965.837
449.712,3964.365
450.059,3962.917
450.406,3961.504
450.753,3960.133
451.100,3958.815
451.447,3957.446
451.794,3956.217
452.141,3954.944
452.488,3953.792
452.835,3952.573
453.182,3951.451
453.529,3950.388
453.876,3949.266
454.223,3948.291
454.570,3947.367
454.917,3946.445
455.264,3945.635
455.611,3944.846
455.958,3944.149
456.305,3943.564
456.652,3943.004
456.999,3942.595
457.346,3942.207
457.693,3941.998
458.040,3941.788
458.387,3941.730
458.734,3941.794
459.081,3941.888
459.428,3942.180
459.775,3942.474
460.122,3942.901
460.469,3943.422
460.816,3944.044
461.163,3944.762
461.510,3945.523
461.857,3946.386
462.204,3947.298
462.551,3948.264
462.898,3949.283
463.245,3950.363
463.592,3951.458
463.939,3952.571
464.286,3953.693
464.633,3954.842
464.980,3955.969
465.327,3957.106
465.674,3958.233
466.021,3959.316
466.368,3960.355
466.715,3961.366
467.062,3962.328
467.409,3963.240
467.756,3964.073
468.103,3964.849
468.450,3965.584
468.797,3966.232
469.144,3966.826
469.491,3967.353
469.838,3967.781
470.185,3968.154
470.532,3968.440
470.879,3968.684
471.226,3968.849
471.573,3968.952
471.920,3969.003
472.267,3968.963
472.614,3968.896
472.961,3968.766
473.308,3968.578
473.655,3968.330
474.002,3968.026
474.349,3967.686
474.696,3967.277
475.043,3966.830
475.390,3966.355
475.737,3965.830
476.084,3965.249
476.431,3964.623
476.778,3963.941
477.125,3963.215
477.472,3962.453
477.819,3961.662
478.166,3960.797
478.513,3959.905
478.860,3958.963
479.207,3957.990
479.554,3956.959
479.901,3955.924
480.248,3954.866
480.595,3953.762
480.942,3952.670
481.289,3951.550
481.636,3950.411
481.983,3949.305
482.330,3948.141
482.677,3947.051
483.024,3945.920
483.371,3944.871
483.718,3943.824
484.065,3942.813
484.412,3941.818
484.759,3940.875
485.106,3939.977
485.453,3939.127
485.800,3938.306
486.147,3937.543
486.494,3936.839
486.841,3936.219
487.188,3935.617
487.535,3935.066
487.882,3934.561
488.229,3934.126
488.576,3933.753
488.923,3933.400
489.270,3933.108
489.617,3932.875
489.964,3932.684
490.311,3932.531
490.658,3932.392
491.005,3932.319
491.352,3932.268
491.699,3932.262
492.046,3932.282
492.393,3932.324
492.740,3932.401
493.087,3932.464
493.434,3932.591
493.781,3932.695
494.128,3932.824
494.475,3932.957
494.822,3933.108
495.169,3933.264
495.516,3933.394
495.863,3933.502
496.210,3933.632
496.557,3933.745
496.904,3933.846
497.251,3933.913
497.598,3933.959
497.945,3933.964
498.292,3933.938
498.639,3933.916
498.986,3933.855
499.333,3933.754
499.680,3933.607
500.027,3933.465
500.374,3933.230
500.721,3932.980
501.068,3932.709
501.415,3932.412
501.762,3932.061
502.109,3931.681
502.456,3931.271
502.803,3930.817
503.150,3930.359
503.497,3929.869
503.844,3929.346
504.191,3928.787
