Distance_(µm),Gray_Value
261.291,17998.631
261.638,18001.068
261.985,18004.004
262.332,18007.182
262.679,18010.340
263.026,18013.469
263.373,18015.680
263.720,18018.229
264.067,18019.527
264.414,18020.182
264.761,18020.148
265.108,18017.895
265.455,18015.092
265.802,18010.531
266.149,18003.330
266.496,17995.586
266.843,17985.939
267.190,17973.000
267.537,17958.711
267.884,17943.883
268.231,17924.648
268.578,17905.307
268.925,17883.326
269.272,17860.062
269.619,17835.480
269.966,17809.375
270.313,17782.154
270.660,17753.854
271.007,17724.924
271.354,17695.467
271.701,17666.338
272.048,17636.229
272.395,17607.195
272.742,17577.736
273.089,17549.154
273.436,17521.502
273.783,17494.514
274.130,17468.717
274.477,17444.053
274.824,17420.695
275.171,17398.617
275.518,17377.932
275.865,17358.580
276.212,17340.951
276.559,17324.529
276.906,17309.494
277.253,17295.820
277.600,17283.262
277.947,17272.164
278.294,17261.980
278.641,17252.754
278.988,17244.406
279.335,17236.973
279.682,17230.082
280.029,17223.752
280.376,17217.879
280.723,17212.328
281.070,17207.117
281.417,17202.057
281.764,17196.709
282.111,17192.311
282.458,17186.713
282.805,17181.918
283.152,17176.752
283.499,17171.590
283.846,17166.203
284.193,17160.424
284.540,17155.221
284.887,17149.072
285.234,17143.547
285.581,17137.717
285.928,17131.834
286.275,17125.957
286.622,17120.184
286.969,17114.309
287.316,17108.176
287.663,17102.807
288.010,17096.736
288.357,17091.400
288.704,17085.014
289.051,17079.986
289.398,17073.865
289.745,17068.199
290.092,17062.119
290.439,17056.051
290.786,17049.496
291.133,17043.072
291.480,17036.012
291.827,17028.822
292.174,17021.109
292.521,17012.697
292.868,17003.857
293.215,16994.619
293.562,16984.361
293.909,16973.740
294.256,16961.955
294.603,16949.496
294.950,16936.223
295.297,16921.953
295.644,16907.006
295.991,16890.002
296.338,16873.611
296.685,16854.615
297.032,16835.512
297.379,16815.037
297.726,16793.320
298.073,16770.457
298.420,16746.639
298.767,16720.561
299.114,16695.574
299.461,16668.383
299.808,16639.729
300.155,16610.631
300.502,16580.867
300.849,16551.463
301.196,16519.082
301.543,16487.260
301.890,16455.795
302.237,16422.732
