,bin_center,tail,Phase,dnorm,normalized intensity,Distance_(microns),Gray_Value,Gray_Value_smooth
134,0.42500000000000004,15,2,0.425221730447849,0.6403844105085061,294.8735189873418,933.2176708860759,933.0883606200576
135,0.475,1,1,0.4751510845390612,0.501031243248252,310.81855405405406,730.0890270270271,730.0402909725908
136,0.475,2,2,0.47512440867497585,0.6546305884181736,293.7814,954.3576571428571,953.8461157632189
137,0.475,3,2,0.47500003159225535,0.3769070574064011,342.0532962962963,549.2343703703704,549.181995267821
138,0.475,4,1,0.475163347512909,0.4040118166038926,319.33712987012984,589.043922077922,588.6756726740308
139,0.475,5,1,0.4751552529885161,0.5157008776391818,302.5184027777778,750.8619583333334,751.4150541306431
140,0.475,6,2,0.4749063757343647,0.4691524911750337,293.5825074626865,683.6789402985074,683.590546065477
141,0.475,7,1,0.47525849368354545,0.659138897052388,282.86016176470594,961.1828970588235,960.4150612959937
142,0.475,8,2,0.47501504971338276,0.4465424369842186,346.42180722891567,650.6891084337349,650.6459926812279
143,0.475,9,1,0.47522530320481404,0.5793523502545176,324.36091025641025,844.7029358974359,844.1600480110137
144,0.475,10,3,0.47511037905927284,0.4192754224873471,348.80179746835444,610.8480253164557,610.915897072426
145,0.475,11,3,0.47518513560888764,0.442903679227223,281.98645588235297,646.1501764705882,645.3440483264732
146,0.475,12,1,0.4751596569483131,0.5779145612232699,294.2182571428571,842.2495428571428,842.0650810067121
147,0.475,13,1,0.47503081428111127,0.5666939869441548,338.34008536585367,825.4931219512196,825.7158584342867
148,0.475,14,2,0.4751677337263581,0.7140657851989891,311.0369733333333,1041.0114800000001,1040.4476779144654
149,0.475,15,2,0.47528513432318065,0.7427605991078554,329.3846708860759,1081.951594936709,1082.2581848992634
150,0.525,1,1,0.5248488739108841,0.5500606238892037,343.1454189189189,801.7111081081082,801.4797945797367
151,0.525,2,2,0.5248757178655191,0.7117665754555027,324.36089999999996,1035.888842857143,1037.0975559954013
152,0.525,3,2,0.525000038305177,0.40636895554438546,377.8749759036144,592.6170120481928,592.110201800047
153,0.525,4,1,0.5251633324286408,0.43637483868482224,352.7561052631579,636.1342236842105,635.831035488417
154,0.525,5,1,0.5248447250699418,0.5403080637203104,333.97158333333334,787.6998194444445,787.2695792301544
155,0.525,6,2,0.5250936296647406,0.5471066419373398,324.4132686567164,796.7352089552238,797.1756201939529
156,0.525,7,1,0.5251108259875388,0.6716996055729723,312.3475223880597,977.5923432835821,978.7169604824398
157,0.525,8,2,0.5249849465967751,0.4756477210289358,382.6803012048193,692.9840602409639,693.0545855966946
158,0.525,9,1,0.5250965821433357,0.590862414150964,358.2167142857143,861.2735714285715,860.9310787786726
159,0.525,10,3,0.5248898366466093,0.464481767566531,385.15448101265827,677.1153164556962,676.784949671732
160,0.525,11,3,0.5251851666071687,0.45062882042491204,311.47382089552235,656.1464029850746,656.6001614007848
161,0.525,12,1,0.524840343051687,0.6144127687085266,324.79774285714285,895.2097,895.2457206805391
162,0.525,13,1,0.5252774211359192,0.5882464643375956,373.9433209876543,857.6716172839506,857.1194427007706
163,0.525,14,2,0.5251677359408736,0.7875810340156172,343.58227027027027,1147.6714729729729,1147.564937287493
164,0.525,15,2,0.5250316227064975,0.8361308553396202,363.67734615384614,1218.1175897435899,1218.3056868189167
165,0.575,1,1,0.5748824603280618,0.5586826083774381,375.69072,814.3118266666667,814.0426759356864
166,0.575,2,2,0.5749822933693142,0.8085931429927482,355.1587887323944,1178.008971830986,1178.1811640364745
167,0.575,3,2,0.5753048960164379,0.4065002537447684,413.9150487804878,591.6841341463415,592.3015131757414
168,0.575,4,1,0.5751633280823262,0.4896280199591638,386.1751168831169,712.808012987013,713.4249350238866
169,0.575,5,1,0.5748792166798771,0.5618706748633912,365.6431780821918,818.5946849315068,818.6879291337826
170,0.575,6,2,0.5752808916937745,0.662708113498069,355.2440447761194,966.2914328358208,965.6156787178858
171,0.575,7,1,0.5749631323160428,0.7287628756738671,341.83486764705884,1061.765,1061.86244665657
172,0.575,8,2,0.5749548342555617,0.5155251736156479,418.93883132530124,750.8416746987951,751.1590401231448
173,0.575,9,1,0.5749678902681351,0.6200936071875575,392.07257692307695,903.4545769230768,903.5231305867812
174,0.575,10,3,0.5749843533067831,0.4735518880317568,421.73725,689.2038875000001,690.0007989282803
175,0.575,11,3,0.5751851816018015,0.48454312067290894,340.9611911764706,706.1294411764707,706.0158534455858
176,0.575,12,1,0.5748757868919243,0.6444044707265779,355.5956338028169,938.859676056338,938.9458914045686
177,0.575,13,1,0.5752157413423795,0.613666312109847,409.32812345679014,894.2507407407408,894.1580771456461
178,0.575,14,2,0.5751677382784177,0.8600835814765149,376.1275733333333,1253.58096,1253.206614444105
179,0.575,15,2,0.5747781206111565,0.8803456388039117,397.9700379746836,1282.0582025316455,1282.7299593977987
180,0.625,1,1,0.6249160007939569,0.591407285505202,408.236,861.7623918918919,861.7249974161846
181,0.625,2,2,0.6250889256872091,0.7988135960263089,385.95667142857144,1164.4211285714287,1163.9316268885048
182,0.625,3,2,0.6250000143601161,0.4471679009554044,449.5182839506173,651.8202469135803,651.5573408369978
183,0.625,4,1,0.6251633127423922,0.5381574286197363,419.5940921052632,784.8988947368421,784.1359417659113
184,0.625,5,1,0.62491371122871,0.6137593805296327,397.3147638888889,894.3785833333334,894.2936848491102
185,0.625,6,2,0.6250935974991616,0.7338047704871471,385.84472727272725,1069.339,1069.2088674759125
186,0.625,7,1,0.6251846975412324,0.79737627390288,371.54064705882354,1161.7773088235294,1161.8373402040925
187,0.625,8,2,0.6249247163795851,0.5681614929758757,455.1973253012048,828.2403373493977,827.8541253484534
188,0.625,9,1,0.625160953642774,0.7062177227759937,426.146858974359,1028.4768717948718,1029.0124593486328
189,0.625,10,3,0.6250788845559931,0.5382452513401216,458.3200379746836,784.4163544303798,784.2639060899091
190,0.625,11,3,0.6251851691379783,0.5350275052418771,370.4485223880597,779.5866268656716,779.575407459347
191,0.625,12,1,0.6249112856495581,0.6917847361141023,386.39352857142853,1008.7501714285714,1007.982509771157
192,0.625,13,1,0.625154090587789,0.6654088142200908,444.712950617284,969.2895061728394,969.5508032585278
193,0.625,14,2,0.6251676953414224,0.86027271189456,408.67285135135137,1252.1553783783784,1253.4821917205368
194,0.625,15,2,0.624841489801599,0.7952931318018515,432.481164556962,1160.2187974683545,1158.8020451280554
195,0.675,1,1,0.6749495822559057,0.642746869481834,440.78130666666664,935.9088,936.5306414349579
196,0.675,2,2,0.674840159986439,0.7251254392321381,416.5361571428571,1056.8281142857143,1056.562427557764
197,0.675,3,2,0.6750000439108128,0.42768176874188685,485.33997590361446,623.5706987951808,623.1645772662873
198,0.675,4,1,0.6751632892211604,0.5691240363891621,453.0130909090909,829.2944805194805,829.2566236616398
199,0.675,5,1,0.6749482230101695,0.670426133852954,428.9863698630137,976.8179589041096,976.8614161874368
200,0.675,6,2,0.6749063168841167,0.7320546530525797,416.4454029850746,1066.5120298507463,1066.6588144435216
201,0.675,7,1,0.6750369667618947,0.8508961712193934,401.0279850746269,1240.3661492537315,1239.8198651190332
202,0.675,8,2,0.6748946446266364,0.5768248549762609,491.4558795180723,840.4314096385542,840.4772968587944
203,0.675,9,1,0.6750322316002442,0.7754454671353412,460.00266233766234,1129.7388571428571,1129.8825015197015
204,0.675,10,3,0.6748583209579305,0.6183213090773391,494.6727215189873,900.9954050632912,900.9407586379069
205,0.675,11,3,0.6751851555576214,0.5943895650557396,399.93585294117645,866.1135588235294,866.0704035364117
206,0.675,12,1,0.6749467625419321,0.715548199368203,417.19142253521125,1041.2217183098592,1042.6076671087892
207,0.675,13,1,0.6750924456409886,0.7140380956328439,480.09777777777776,1040.889024691358,1040.4073321292515
208,0.675,14,2,0.6751676973098806,0.7963653893755228,441.21816,1160.2861733333334,1160.3644052435757
